equity,floating_DD_USD,floating_DD_pct
1000.0,0.0,0.0
1004.9006984779178,-7.43333333333278,-0.7397082462567444
1014.6189135979911,-5.861920741121255,-0.5777460544603887
1021.1274350996147,-7.23761491699795,-0.7087866477989493
1026.9498130948175,-3.607983604018438,-0.35133008040046404
1032.8518753300157,-6.332857180750647,-0.6131428263832294
1042.384437805111,-9.261238482126439,-0.8884666871684401
1049.2356171019926,-2.2584996152441272,-0.21525190133005045
1056.229399622218,-7.1348021962932755,-0.6754974060412618
1064.237847971649,-13.167659848623497,-1.2372854314211799
1070.7561340052569,-17.737297466194132,-1.6565207429488378
1078.9016341429501,-9.244194623579412,-0.856815332467519
1086.2755094275046,-3.5244120048672682,-0.32444918202424766
1093.2305418165906,-4.5985663232430465,-0.420640125512935
1099.7003922029826,-3.170368571268216,-0.28829384746486747
1107.044953484727,-4.325488209331955,-0.3907238089759857
1114.5929100143974,-6.457762228660982,-0.5793830348855858
1121.0203609235894,-8.916743280114575,-0.7954131424310817
1126.8482549206678,-5.343530387069649,-0.47420141653818715
1133.7984688532551,-7.700129741957849,-0.6791444823299069
1142.1974680673552,-40.85453816101262,-3.576836694458811
1148.7532680841941,-4.149984133978579,-0.3612598326618575
1156.3572397265207,-5.2842650331882925,-0.45697513291290714
1162.1212835427746,-8.903950745894733,-0.7661808515158308
1168.8129461819915,-5.926818546067808,-0.507080159013311
1183.7358081363327,-1.40257553541846,-0.11848721021852564
1191.9868329309734,-10.180127949972093,-0.8540470136687838
1200.8161341517869,-32.38230896129225,-2.696691694950114
1209.0078116879743,-6.76459755572113,-0.5595164473153103
1217.5691590074618,-7.576448953244575,-0.6222602549674259
1224.26359601144,-8.766497944852995,-0.7160629437494992
1230.6910679102787,-0.9794108768087357,-0.07958218779240689
1236.7628296084847,-1.0665989255223605,-0.08624118545509715
1246.4910207433672,-10.388807768711096,-0.8334442523713925
1257.375376321608,-6.398653906482522,-0.5088897100245021
1264.8082736013448,-5.071414017830633,-0.400963064812232
1275.3808470499407,-4.595470060751195,-0.36032139508609445
1281.5493803567715,-7.992386641512894,-0.6236503067316757
1296.3252969655464,-2.007760695892585,-0.1548809315526261
1302.644251730218,-7.691530095328886,-0.5904551519044993
1308.9777466963242,-9.379038612457752,-0.7165162766234282
1323.1497523906685,-10.079128649562287,-0.7617526762447944
1331.4428620207266,-9.394363241973062,-0.7055776488759922
1339.239736666052,-16.37674720285428,-1.2228391044924563
1350.3806730893778,-18.52614969054696,-1.3719205302430129
1357.6040149539765,0.0,0.0
1368.1899360501725,-0.2715208029900213,-0.019845256556547602
1382.389394873381,-8.117926953897667,-0.5872388043486997
1390.7683136801652,-10.64439834052566,-0.7653610048361765
1399.585802318951,-33.56387530348139,-2.398129164204863
1415.1072813553794,-19.454242652232892,-1.3747539079581133
1425.3075856863647,0.0,0.0
1432.225414688114,-29.21880550657038,-2.0400982420028595
1442.2998212645296,-0.7161127073439352,-0.04965075199940652
1449.6012861847726,-7.788419034828734,-0.5372800858453425
1462.3566674362974,-8.987527974345952,-0.6145920605061599
1471.3211860105903,-6.9218215591977765,-0.4704493909970759
1489.0187903342107,-19.76474793207599,-1.327367260935625
1496.829522611497,-17.917859443688304,-1.1970541182557164
1504.9332433806017,-12.772945259619206,-0.8487383288129609
1512.4460159726261,-13.193248100303336,-0.8723120006249613
1519.8628802361713,-25.61075253713573,-1.6850699408591439
1541.5048735636979,0.0,0.0
1550.5728999871983,-10.944684602301459,-0.7058477935730606
1559.1735975523086,-22.58667857648064,-1.448631416792759
1573.455383835274,-95.36945171694938,-6.06114750355919
1583.6929537456388,-3.986086972382558,-0.25169569410250553
1594.4675715785493,0.0,0.0
1607.5586477835618,-1.8602121668413882,-0.11571659730151525
1617.99702423929,-39.54594273547586,-2.4441295096984863
1635.9434258201263,-17.20470169107728,-1.05166850023877
1644.2519517822561,0.0,0.0
1654.24703837282,-6.193349018380803,-0.37439081798041574
1663.4839231806523,-5.4590152266311245,-0.3281675975679557
1672.984278574821,-48.01923591581479,-2.870274187915342
1686.1474803381057,-70.76723498371601,-4.196977773825916
